Red,Green,Blue,Gray,Index,Intensity,Temperature,Depth
255,0,66,0,25,84,23.481,2
248,119,0,0,1,144,1.8032,0.75
255,0,247,0,16,104,15.352,3
255,0,239,0,16,103,15.352,2.25
255,2,76,2,23,86,21.674,2
255,198,5,5,14,193,13.545,0.75
249,4,249,4,16,105,15.352,3
255,2,184,2,7,98,7.2226,2.25
255,0,72,0,23,84,21.674,2
255,129,6,6,1,153,1.8032,0.75
255,0,247,0,16,104,15.352,3
255,1,241,1,16,104,15.352,2.25
255,1,76,1,25,85,23.481,2
249,190,0,0,14,186,13.545,0.75
251,3,249,3,16,105,15.352,3
255,1,183,1,7,98,7.2226,2.25
255,0,65,0,25,84,23.481,2
255,129,9,9,1,153,1.8032,0.75
255,0,250,0,16,105,15.352,3
255,2,233,2,16,104,15.352,2.25
255,1,76,1,24,85,22.577,2
246,186,0,0,29,183,27.094,0.75
251,3,250,3,16,105,15.352,3
255,0,196,0,7,99,7.2226,2.25
255,0,72,0,24,84,22.577,2
255,127,4,4,30,151,27.997,0.75
255,0,252,0,16,105,15.352,3
255,0,243,0,16,104,15.352,2.25
255,1,78,1,23,86,21.674,2
251,194,3,3,14,189,13.545,0.75
252,2,250,2,16,105,15.352,3
255,3,188,3,7,99,7.2226,2.25
255,0,72,0,23,84,21.674,2
255,131,11,11,1,154,1.8032,0.75
255,1,247,1,16,105,15.352,3
255,1,241,1,16,104,15.352,2.25
255,1,75,1,23,85,21.674,2
246,186,0,0,14,183,13.545,0.75
251,3,249,3,16,105,15.352,3
255,1,188,1,7,98,7.2226,2.25
255,0,72,0,23,84,21.674,2
252,121,3,3,1,147,1.8032,0.75
255,0,249,0,16,105,15.352,3
254,1,240,1,16,104,15.352,2.25
255,0,78,0,2,85,2.7065,2
251,192,2,2,14,188,13.545,0.75
249,3,250,3,16,105,15.352,3
255,0,185,0,7,97,7.2226,2.25
255,0,74,0,23,85,21.674,2
255,128,6,6,1,152,1.8032,0.75
255,0,245,0,9,104,9.029,3
255,0,241,0,9,104,9.029,2.25
250,3,255,3,9,106,9.029,2
255,3,143,3,26,94,24.384,0.75
253,0,107,0,11,88,10.835,3
246,2,1,1,0,75,0.9,2.25
255,2,23,2,15,80,14.448,2
255,3,33,3,30,82,27.997,0.75
255,0,247,0,16,104,15.352,3
255,0,234,0,7,103,7.2226,2.25
255,2,75,2,23,86,21.674,2
235,175,0,0,27,173,25.287,0.75
255,0,250,0,16,105,15.352,3
255,2,189,2,7,99,7.2226,2.25
255,0,74,0,23,85,21.674,2
250,124,3,3,1,148,1.8032,0.75
255,0,249,0,16,105,15.352,3
250,4,239,4,16,104,15.352,2.25
255,0,78,0,23,85,21.674,2
249,190,0,0,14,186,13.545,0.75
252,2,250,2,16,105,15.352,3
255,3,186,3,7,99,7.2226,2.25
255,0,74,0,2,85,2.7065,2
254,121,2,2,1,147,1.8032,0.75
255,0,247,0,16,104,15.352,3
255,0,233,0,16,103,15.352,2.25
255,0,75,0,23,85,21.674,2
250,186,0,0,14,184,13.545,0.75
252,2,249,2,16,105,15.352,3
255,2,188,2,7,99,7.2226,2.25
255,0,72,0,23,84,21.674,2
249,120,1,1,20,145,18.965,0.75
255,0,249,0,16,105,15.352,3
255,0,240,0,16,104,15.352,2.25
255,1,76,1,24,85,22.577,2
242,184,0,0,14,180,13.545,0.75
249,4,249,4,16,105,15.352,3
255,0,184,0,7,97,7.2226,2.25
255,0,72,0,24,84,22.577,2
255,131,8,8,31,154,28.9,0.75
255,0,249,0,16,105,15.352,3
255,3,237,3,16,105,15.352,2.25
255,3,75,3,23,87,21.674,2
250,187,0,0,14,185,13.545,0.75
252,4,251,4,16,106,15.352,3
255,3,189,3,7,100,7.2226,2.25
255,0,73,0,2,85,2.7065,2
255,130,8,8,31,153,28.9,0.75
255,0,247,0,16,104,15.352,3
255,0,232,0,16,103,15.352,2.25
255,1,76,1,23,85,21.674,2
252,195,2,2,31,190,28.9,0.75
252,4,248,4,16,106,15.352,3
255,2,187,2,7,99,7.2226,2.25
255,0,74,0,23,85,21.674,2
255,127,5,5,1,151,1.8032,0.75
255,0,249,0,16,105,15.352,3
255,0,234,0,16,103,15.352,2.25
255,2,75,2,23,86,21.674,2
253,194,2,2,31,190,28.9,0.75
255,0,249,0,16,105,15.352,3
255,0,187,0,7,98,7.2226,2.25
254,0,72,0,23,84,21.674,2
253,125,2,2,1,149,1.8032,0.75
255,0,250,0,16,105,15.352,3
255,1,235,1,16,104,15.352,2.25
255,1,75,1,23,85,21.674,2
254,189,1,1,14,187,13.545,0.75
253,3,251,3,16,106,15.352,3
255,0,196,0,7,99,7.2226,2.25
255,0,73,0,23,85,21.674,2
245,119,0,0,1,143,1.8032,0.75
255,0,249,0,16,105,15.352,3
255,0,234,0,16,103,15.352,2.25
255,1,75,1,23,85,21.674,2
244,187,0,0,14,183,13.545,0.75
255,1,251,1,16,105,15.352,3
255,0,195,0,7,98,7.2226,2.25
255,0,73,0,23,85,21.674,2
255,131,6,6,1,154,1.8032,0.75
255,0,249,0,16,105,15.352,3
255,0,240,0,16,104,15.352,2.25
255,1,75,1,23,85,21.674,2
255,196,6,6,14,192,13.545,0.75
252,3,253,3,16,106,15.352,3
255,0,191,0,7,98,7.2226,2.25
255,0,68,0,23,84,21.674,2
255,125,7,7,1,150,1.8032,0.75
255,0,250,0,30,105,27.997,3
255,0,241,0,30,104,27.997,2.25
249,3,254,3,30,105,27.997,2
255,3,140,3,18,94,17.158,0.75
253,0,106,0,18,88,17.158,3
245,2,0,0,0,74,0.9,2.25
255,2,22,2,22,80,20.771,2
255,0,29,0,23,80,21.674,0.75
255,0,249,0,16,105,15.352,3
255,1,239,1,16,104,15.352,2.25
255,1,76,1,23,85,21.674,2
246,187,0,0,14,183,13.545,0.75
255,1,251,1,16,105,15.352,3
255,1,189,1,7,98,7.2226,2.25
255,0,74,0,23,85,21.674,2
252,128,4,4,28,151,26.19,0.75
255,0,249,0,17,105,16.255,3
248,7,234,7,17,105,16.255,2.25
255,1,70,1,23,85,21.674,2
253,194,2,2,31,190,28.9,0.75
252,2,250,2,17,105,16.255,3
253,1,184,1,7,97,7.2226,2.25
255,0,73,0,23,85,21.674,2
255,129,9,9,1,153,1.8032,0.75
255,0,247,0,16,104,15.352,3
254,0,243,0,16,104,15.352,2.25
255,2,75,2,23,86,21.674,2
255,200,11,11,14,195,13.545,0.75
255,0,253,0,16,105,15.352,3
255,1,189,1,7,98,7.2226,2.25
255,0,74,0,2,85,2.7065,2
251,121,0,0,20,146,18.965,0.75
255,0,249,0,16,105,15.352,3
246,4,239,4,16,103,15.352,2.25
255,2,75,2,24,86,22.577,2
244,187,0,0,14,183,13.545,0.75
251,3,250,3,16,105,15.352,3
254,2,187,2,7,98,7.2226,2.25
255,0,73,0,24,85,22.577,2
255,130,6,6,1,153,1.8032,0.75
255,0,249,0,16,105,15.352,3
255,0,233,0,16,103,15.352,2.25
255,2,75,2,23,86,21.674,2
250,190,0,0,14,186,13.545,0.75
255,0,250,0,16,105,15.352,3
255,1,189,1,7,98,7.2226,2.25
255,0,74,0,23,85,21.674,2
255,128,4,4,29,152,27.094,0.75
255,0,249,0,16,105,15.352,3
246,5,234,5,7,103,7.2226,2.25
255,1,74,1,23,85,21.674,2
250,193,0,0,31,188,28.9,0.75
252,2,250,2,16,105,15.352,3
252,3,185,3,7,98,7.2226,2.25
255,0,73,0,23,85,21.674,2
255,131,10,10,28,154,26.19,0.75
255,0,247,0,16,104,15.352,3
255,0,235,0,16,103,15.352,2.25
255,1,75,1,21,85,19.868,2
249,190,0,0,13,186,12.642,0.75
255,1,253,1,16,106,15.352,3
255,3,191,3,7,100,7.2226,2.25
255,0,74,0,2,85,2.7065,2
255,126,4,4,30,151,27.997,0.75
255,0,245,0,16,104,15.352,3
255,0,234,0,16,103,15.352,2.25
255,1,74,1,23,85,21.674,2
250,190,0,0,14,186,13.545,0.75
252,2,249,2,16,105,15.352,3
252,0,199,0,7,98,7.2226,2.25
255,0,72,0,23,84,21.674,2
255,137,14,14,30,158,27.997,0.75
255,0,247,0,17,104,16.255,3
255,0,234,0,17,103,16.255,2.25
255,2,75,2,23,86,21.674,2
255,199,8,8,14,194,13.545,0.75
252,1,252,1,17,105,16.255,3
255,0,187,0,7,98,7.2226,2.25
255,0,73,0,23,85,21.674,2
255,133,10,10,30,155,27.997,0.75
255,0,247,0,16,104,15.352,3
255,1,238,1,16,104,15.352,2.25
255,1,76,1,21,85,19.868,2
255,192,6,6,30,190,27.997,0.75
255,0,252,0,16,105,15.352,3
255,1,189,1,7,98,7.2226,2.25
255,0,69,0,21,84,19.868,2
255,126,6,6,1,151,1.8032,0.75
255,0,245,0,10,104,9.9323,3
255,0,242,0,10,104,9.9323,2.25
249,2,255,2,10,105,9.9323,2
255,3,140,3,3,94,3.6097,0.75
252,0,105,0,18,87,17.158,3
249,6,2,2,24,78,22.577,2.25
254,1,21,1,22,79,20.771,2
255,0,30,0,5,80,5.4161,0.75
255,0,249,0,17,105,16.255,3
255,0,233,0,17,103,16.255,2.25
255,1,74,1,23,85,21.674,2
248,189,0,0,14,185,13.545,0.75
251,3,250,3,17,105,16.255,3
255,1,186,1,7,98,7.2226,2.25
255,0,72,0,23,84,21.674,2
255,131,7,7,1,154,1.8032,0.75
255,0,247,0,18,104,17.158,3
251,4,235,4,18,104,17.158,2.25
255,1,75,1,21,85,19.868,2
250,191,3,3,31,187,28.9,0.75
255,1,249,1,18,105,17.158,3
255,2,189,2,7,99,7.2226,2.25
255,0,74,0,2,85,2.7065,2
255,136,13,13,19,158,18.061,0.75
255,0,249,0,18,105,17.158,3
255,2,237,2,18,104,17.158,2.25
255,2,73,2,21,86,19.868,2
252,191,2,2,13,188,12.642,0.75
255,0,252,0,18,105,17.158,3
255,2,188,2,7,99,7.2226,2.25
255,0,73,0,2,85,2.7065,2
253,127,6,6,1,151,1.8032,0.75
255,0,247,0,17,104,16.255,3
253,1,236,1,17,103,16.255,2.25
255,2,76,2,21,86,19.868,2
242,183,0,0,28,180,26.19,0.75
255,0,252,0,17,105,16.255,3
255,3,192,3,7,100,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,131,5,5,19,154,18.061,0.75
255,0,249,0,18,105,17.158,3
255,0,234,0,18,103,17.158,2.25
255,1,75,1,20,85,18.965,2
247,186,0,0,13,183,12.642,0.75
255,1,253,1,18,106,17.158,3
255,0,187,0,17,98,16.255,2.25
255,0,76,0,20,85,18.965,2
254,129,3,3,31,152,28.9,0.75
255,0,249,0,16,105,15.352,3
247,4,234,4,7,103,7.2226,2.25
254,3,74,3,20,86,18.965,2
251,192,0,0,13,188,12.642,0.75
251,2,252,2,16,105,15.352,3
255,1,189,1,7,98,7.2226,2.25
255,0,69,0,20,84,18.965,2
255,127,7,7,1,152,1.8032,0.75
255,0,247,0,17,104,16.255,3
255,2,236,2,17,104,16.255,2.25
255,1,74,1,20,85,18.965,2
255,193,10,10,31,191,28.9,0.75
255,1,255,1,17,106,16.255,3
255,0,191,0,7,98,7.2226,2.25
255,0,74,0,20,85,18.965,2
255,128,8,8,1,152,1.8032,0.75
255,0,247,0,16,104,15.352,3
255,1,235,1,16,104,15.352,2.25
255,2,75,2,2,86,2.7065,2
248,187,0,0,13,184,12.642,0.75
255,0,250,0,16,105,15.352,3
255,0,191,0,7,98,7.2226,2.25
255,0,69,0,20,84,18.965,2
255,133,13,13,30,156,27.997,0.75
255,0,247,0,18,104,17.158,3
255,0,232,0,18,103,17.158,2.25
255,0,78,0,20,85,18.965,2
243,182,0,0,26,179,24.384,0.75
255,0,255,0,18,105,17.158,3
255,1,192,1,7,99,7.2226,2.25
255,0,77,0,2,85,2.7065,2
251,121,1,1,24,146,22.577,0.75
255,0,249,0,17,105,16.255,3
255,0,232,0,17,103,16.255,2.25
255,1,74,1,20,85,18.965,2
249,184,0,0,13,182,12.642,0.75
255,0,252,0,17,105,16.255,3
255,0,191,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,128,8,8,29,152,27.094,0.75
255,0,249,0,10,105,9.9323,3
255,0,243,0,10,104,9.9323,2.25
250,4,255,4,10,106,9.9323,2
255,3,142,3,3,94,3.6097,0.75
252,0,105,0,9,87,9.029,3
246,3,0,0,24,75,22.577,2.25
255,2,22,2,22,80,20.771,2
255,2,30,2,23,81,21.674,0.75
255,0,247,0,17,104,16.255,3
255,0,227,0,17,102,16.255,2.25
255,1,70,1,21,85,19.868,2
252,192,0,0,13,188,12.642,0.75
255,1,253,1,17,106,16.255,3
255,1,189,1,7,98,7.2226,2.25
255,0,74,0,2,85,2.7065,2
253,123,0,0,1,148,1.8032,0.75
255,0,247,0,18,104,17.158,3
254,1,231,1,18,103,17.158,2.25
255,0,74,0,20,85,18.965,2
250,191,0,0,13,187,12.642,0.75
255,0,252,0,18,105,17.158,3
255,1,191,1,7,99,7.2226,2.25
255,0,74,0,2,85,2.7065,2
255,129,6,6,1,153,1.8032,0.75
255,0,249,0,18,105,17.158,3
255,0,232,0,18,103,17.158,2.25
255,0,74,0,20,85,18.965,2
243,180,0,0,28,178,26.19,0.75
255,0,255,0,18,105,17.158,3
255,0,193,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
254,123,5,5,1,149,1.8032,0.75
255,0,249,0,17,105,16.255,3
247,4,232,4,17,103,16.255,2.25
255,1,68,1,20,85,18.965,2
253,190,1,1,31,187,28.9,0.75
255,0,252,0,17,105,16.255,3
255,1,189,1,7,98,7.2226,2.25
255,0,69,0,20,84,18.965,2
255,130,11,11,1,154,1.8032,0.75
255,0,241,0,18,104,17.158,3
255,0,232,0,18,103,17.158,2.25
255,1,74,1,20,85,18.965,2
250,186,1,1,28,184,26.19,0.75
255,1,253,1,18,106,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,76,0,20,85,18.965,2
255,130,1,1,1,153,1.8032,0.75
255,0,250,0,18,105,17.158,3
247,3,238,3,18,103,17.158,2.25
255,1,72,1,20,85,18.965,2
255,190,4,4,13,188,12.642,0.75
255,0,252,0,18,105,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,76,0,20,85,18.965,2
255,126,9,9,29,151,27.094,0.75
255,0,249,0,18,105,17.158,3
254,1,232,1,18,103,17.158,2.25
255,1,74,1,20,85,18.965,2
250,192,5,5,13,188,12.642,0.75
255,0,255,0,18,105,17.158,3
255,0,191,0,7,98,7.2226,2.25
255,0,71,0,20,84,18.965,2
255,125,4,4,1,150,1.8032,0.75
255,0,245,0,18,104,17.158,3
254,4,234,4,18,105,17.158,2.25
255,1,76,1,20,85,18.965,2
255,195,8,8,13,192,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,192,0,7,98,7.2226,2.25
255,0,78,0,2,85,2.7065,2
255,124,3,3,1,149,1.8032,0.75
255,0,249,0,18,105,17.158,3
255,2,233,2,18,104,17.158,2.25
255,1,72,1,20,85,18.965,2
255,200,9,9,31,195,28.9,0.75
255,0,255,0,18,105,17.158,3
255,1,194,1,7,99,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,129,9,9,1,153,1.8032,0.75
255,0,247,0,18,104,17.158,3
255,0,232,0,7,103,7.2226,2.25
255,2,75,2,20,86,18.965,2
254,195,5,5,31,191,28.9,0.75
255,0,255,0,18,105,17.158,3
255,0,193,0,7,98,7.2226,2.25
255,0,78,0,2,85,2.7065,2
252,126,3,3,1,150,1.8032,0.75
255,0,247,0,10,104,9.9323,3
255,0,245,0,10,104,9.9323,2.25
250,4,255,4,10,106,9.9323,2
255,5,150,5,19,96,18.061,0.75
253,1,104,1,19,88,18.061,3
248,5,1,1,24,77,22.577,2.25
255,2,22,2,22,80,20.771,2
255,0,28,0,5,79,5.4161,0.75
255,0,249,0,18,105,17.158,3
255,0,233,0,18,103,17.158,2.25
255,1,72,1,20,85,18.965,2
251,194,3,3,30,189,27.997,0.75
255,0,255,0,18,105,17.158,3
255,0,187,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
254,126,3,3,1,150,1.8032,0.75
255,0,243,0,18,104,17.158,3
254,1,229,1,18,103,17.158,2.25
255,2,72,2,20,86,18.965,2
254,195,3,3,13,191,12.642,0.75
255,1,247,1,18,105,17.158,3
255,0,191,0,7,98,7.2226,2.25
255,0,71,0,20,84,18.965,2
255,129,7,7,1,153,1.8032,0.75
255,1,245,1,18,105,17.158,3
255,0,235,0,18,103,17.158,2.25
255,1,74,1,20,85,18.965,2
250,186,3,3,13,184,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,194,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
253,125,0,0,1,149,1.8032,0.75
255,0,245,0,18,104,17.158,3
255,0,239,0,18,103,17.158,2.25
255,1,70,1,20,85,18.965,2
253,190,0,0,13,187,12.642,0.75
255,0,255,0,18,105,17.158,3
255,0,191,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,126,2,2,1,150,1.8032,0.75
255,0,249,0,18,105,17.158,3
255,1,237,1,18,104,17.158,2.25
255,1,67,1,20,84,18.965,2
252,195,4,4,30,190,27.997,0.75
255,0,255,0,18,105,17.158,3
255,0,191,0,7,98,7.2226,2.25
255,0,73,0,20,85,18.965,2
255,127,3,3,1,151,1.8032,0.75
255,0,247,0,18,104,17.158,3
255,0,235,0,18,103,17.158,2.25
255,1,70,1,20,85,18.965,2
252,188,2,2,29,186,27.094,0.75
255,0,255,0,18,105,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
252,124,1,1,1,148,1.8032,0.75
255,0,249,0,18,105,17.158,3
254,0,234,0,18,103,17.158,2.25
255,1,72,1,20,85,18.965,2
247,186,0,0,13,183,12.642,0.75
255,0,255,0,18,105,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,134,8,8,1,156,1.8032,0.75
255,0,247,0,18,104,17.158,3
253,0,238,0,18,103,17.158,2.25
255,0,72,0,20,84,18.965,2
248,190,2,2,31,186,28.9,0.75
255,1,249,1,18,105,17.158,3
255,0,188,0,7,98,7.2226,2.25
255,0,71,0,20,84,18.965,2
255,134,7,7,1,156,1.8032,0.75
255,0,249,0,18,105,17.158,3
247,4,234,4,18,103,17.158,2.25
255,0,69,0,19,84,18.061,2
250,184,0,0,26,183,24.384,0.75
254,0,255,0,18,105,17.158,3
255,0,195,0,7,98,7.2226,2.25
255,0,74,0,2,85,2.7065,2
255,124,3,3,1,149,1.8032,0.75
255,0,249,0,18,105,17.158,3
248,6,232,6,7,104,7.2226,2.25
255,1,70,1,19,85,18.061,2
253,190,1,1,13,187,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,195,0,7,98,7.2226,2.25
255,0,76,0,19,85,18.061,2
255,127,4,4,1,151,1.8032,0.75
255,0,247,0,10,104,9.9323,3
255,0,241,0,10,104,9.9323,2.25
250,4,255,4,10,106,9.9323,2
254,3,142,3,3,94,3.6097,0.75
253,0,107,0,9,88,9.029,3
243,0,0,0,0,73,0.9,2.25
255,2,22,2,5,80,5.4161,2
255,0,28,0,5,79,5.4161,0.75
255,0,249,0,18,105,17.158,3
249,4,232,4,18,103,17.158,2.25
255,0,69,0,20,84,18.965,2
244,185,0,0,13,182,12.642,0.75
255,0,254,0,18,105,17.158,3
255,1,196,1,7,99,7.2226,2.25
255,0,75,0,2,85,2.7065,2
255,133,13,13,31,156,28.9,0.75
255,0,247,0,17,104,16.255,3
249,4,229,4,17,103,16.255,2.25
255,1,70,1,18,85,17.158,2
247,187,3,3,27,184,25.287,0.75
255,0,254,0,17,105,16.255,3
255,0,192,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,132,12,12,30,155,27.997,0.75
255,0,249,0,18,105,17.158,3
255,1,235,1,18,104,17.158,2.25
255,1,74,1,19,85,18.061,2
251,189,6,6,13,187,12.642,0.75
255,0,252,0,18,105,17.158,3
255,0,194,0,7,98,7.2226,2.25
255,0,76,0,2,85,2.7065,2
254,128,5,5,1,152,1.8032,0.75
255,0,247,0,18,104,17.158,3
248,6,232,6,18,104,17.158,2.25
255,1,66,1,19,84,18.061,2
247,190,0,0,13,185,12.642,0.75
255,0,252,0,18,105,17.158,3
255,1,194,1,7,99,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,127,4,4,30,151,27.997,0.75
255,0,247,0,18,104,17.158,3
255,2,230,2,18,104,17.158,2.25
255,0,72,0,19,84,18.061,2
248,184,0,0,13,182,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,194,0,7,98,7.2226,2.25
255,0,78,0,2,85,2.7065,2
255,125,4,4,1,150,1.8032,0.75
255,0,250,0,18,105,17.158,3
247,3,238,3,18,103,17.158,2.25
255,1,70,1,19,85,18.061,2
250,189,0,0,13,186,12.642,0.75
255,0,252,0,18,105,17.158,3
255,0,205,0,18,100,17.158,2.25
255,0,71,0,19,84,18.061,2
255,133,10,10,31,155,28.9,0.75
255,0,249,0,18,105,17.158,3
255,0,235,0,18,103,17.158,2.25
255,1,72,1,19,85,18.061,2
246,185,0,0,13,182,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,204,0,7,99,7.2226,2.25
255,0,76,0,2,85,2.7065,2
255,134,11,11,30,156,27.997,0.75
255,0,247,0,18,104,17.158,3
252,3,231,3,18,103,17.158,2.25
255,1,68,1,19,85,18.061,2
248,187,0,0,20,184,18.965,0.75
255,0,254,0,18,105,17.158,3
254,0,203,0,7,99,7.2226,2.25
255,0,71,0,19,84,18.061,2
255,129,5,5,1,153,1.8032,0.75
255,0,247,0,18,104,17.158,3
255,1,233,1,18,103,17.158,2.25
255,1,70,1,19,85,18.061,2
255,203,17,17,30,197,27.997,0.75
255,0,254,0,18,105,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,75,0,2,85,2.7065,2
252,124,1,1,1,148,1.8032,0.75
255,0,249,0,18,105,17.158,3
252,2,232,2,18,103,17.158,2.25
255,2,68,2,19,85,18.061,2
244,186,1,1,13,182,12.642,0.75
255,1,255,1,18,106,17.158,3
255,0,192,0,7,98,7.2226,2.25
255,0,75,0,2,85,2.7065,2
255,132,14,14,1,155,1.8032,0.75
255,0,249,0,10,105,9.9323,3
255,0,243,0,10,104,9.9323,2.25
250,1,255,1,10,104,9.9323,2
254,2,147,2,3,94,3.6097,0.75
255,0,104,0,18,88,17.158,3
246,3,0,0,25,75,23.481,2.25
254,1,21,1,22,79,20.771,2
255,0,27,0,5,79,5.4161,0.75
255,0,249,0,18,105,17.158,3
255,0,231,0,18,103,17.158,2.25
255,2,65,2,19,85,18.061,2
251,192,4,4,28,188,26.19,0.75
255,0,255,0,18,105,17.158,3
255,0,195,0,7,98,7.2226,2.25
255,0,76,0,19,85,18.061,2
251,125,4,4,1,149,1.8032,0.75
255,0,249,0,18,105,17.158,3
254,1,239,1,18,104,17.158,2.25
255,1,72,1,19,85,18.061,2
251,188,0,0,13,185,12.642,0.75
254,0,255,0,18,105,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,73,0,19,85,18.061,2
254,126,3,3,1,150,1.8032,0.75
255,0,245,0,17,104,16.255,3
255,1,230,1,7,103,7.2226,2.25
255,1,68,1,18,85,17.158,2
240,180,0,0,13,177,12.642,0.75
255,0,255,0,17,105,16.255,3
255,0,196,0,7,99,7.2226,2.25
255,0,78,0,2,85,2.7065,2
250,120,0,0,1,145,1.8032,0.75
255,0,249,0,17,105,16.255,3
248,5,237,5,17,104,16.255,2.25
255,1,70,1,18,85,17.158,2
247,183,0,0,13,181,12.642,0.75
255,0,254,0,17,105,16.255,3
255,0,204,0,7,99,7.2226,2.25
255,0,78,0,2,85,2.7065,2
255,132,12,12,30,155,27.997,0.75
255,0,249,0,18,105,17.158,3
255,3,228,3,18,104,17.158,2.25
255,2,68,2,19,85,18.061,2
254,197,4,4,29,192,27.094,0.75
255,0,252,0,18,105,17.158,3
255,0,193,0,7,98,7.2226,2.25
255,0,76,0,19,85,18.061,2
255,127,8,8,1,152,1.8032,0.75
255,1,247,1,17,105,16.255,3
251,2,242,2,17,104,16.255,2.25
255,1,70,1,18,85,17.158,2
253,189,6,6,27,187,25.287,0.75
255,0,255,0,17,105,16.255,3
253,0,193,0,7,98,7.2226,2.25
255,0,80,0,2,85,2.7065,2
255,129,9,9,28,153,26.19,0.75
255,0,249,0,18,105,17.158,3
249,4,231,4,18,103,17.158,2.25
255,2,68,2,19,85,18.061,2
247,186,0,0,25,183,23.481,0.75
255,0,254,0,18,105,17.158,3
255,0,196,0,7,99,7.2226,2.25
255,0,76,0,2,85,2.7065,2
245,116,0,0,26,141,24.384,0.75
255,0,250,0,18,105,17.158,3
247,4,232,4,18,103,17.158,2.25
255,1,72,1,19,85,18.061,2
255,191,5,5,13,189,12.642,0.75
255,0,254,0,18,105,17.158,3
255,1,196,1,7,99,7.2226,2.25
255,0,78,0,2,85,2.7065,2
255,124,9,9,1,150,1.8032,0.75
255,2,241,2,17,105,16.255,3
255,0,236,0,17,103,16.255,2.25
255,1,67,1,18,84,17.158,2
250,192,4,4,29,188,27.094,0.75
255,0,254,0,17,105,16.255,3
255,1,198,1,7,99,7.2226,2.25
255,0,73,0,18,85,17.158,2
255,121,4,4,1,148,1.8032,0.75
255,0,247,0,17,104,16.255,3
255,0,238,0,17,103,16.255,2.25
255,1,70,1,18,85,17.158,2
249,185,2,2,13,183,12.642,0.75
255,0,252,0,17,105,16.255,3
255,1,193,1,7,99,7.2226,2.25
255,0,78,0,2,85,2.7065,2
255,122,5,5,1,148,1.8032,0.75
255,1,243,1,10,105,9.9323,3
255,0,244,0,10,104,9.9323,2.25
251,5,255,5,10,107,9.9323,2
255,9,147,9,3,98,3.6097,0.75
252,0,103,0,8,87,8.1258,3
246,3,0,0,25,75,23.481,2.25
255,3,18,3,22,80,20.771,2
255,0,27,0,5,79,5.4161,0.75
255,0,247,0,18,104,17.158,3
250,5,232,5,18,104,17.158,2.25
255,2,68,2,19,85,18.061,2
246,182,0,0,27,180,25.287,0.75
255,0,254,0,18,105,17.158,3
255,0,191,0,7,98,7.2226,2.25
255,0,76,0,19,85,18.061,2
255,131,10,10,1,154,1.8032,0.75
255,0,250,0,18,105,17.158,3
249,4,232,4,18,103,17.158,2.25
255,1,70,1,19,85,18.061,2
245,186,0,0,13,182,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,190,0,7,98,7.2226,2.25
255,0,78,0,19,85,18.061,2
255,134,14,14,20,156,18.965,0.75
255,0,249,0,18,105,17.158,3
255,0,232,0,18,103,17.158,2.25
255,1,70,1,19,85,18.061,2
245,187,0,0,13,183,12.642,0.75
255,0,254,0,18,105,17.158,3
255,0,195,0,7,98,7.2226,2.25
255,0,80,0,2,85,2.7065,2
255,130,9,9,1,154,1.8032,0.75
255,1,247,1,17,105,16.255,3
254,0,234,0,17,103,16.255,2.25
255,0,72,0,18,84,17.158,2
248,184,0,0,13,182,12.642,0.75
255,1,249,1,17,105,16.255,3
255,2,200,2,7,100,7.2226,2.25
255,0,80,0,18,85,17.158,2
253,123,3,3,1,148,1.8032,0.75
255,0,249,0,17,105,16.255,3
255,0,232,0,7,103,7.2226,2.25
255,2,65,2,18,85,17.158,2
245,186,0,0,30,182,27.997,0.75
255,0,254,0,17,105,16.255,3
255,1,197,1,7,99,7.2226,2.25
255,0,80,0,2,85,2.7065,2
255,128,8,8,28,152,26.19,0.75
255,1,247,1,17,105,16.255,3
255,2,233,2,17,104,16.255,2.25
255,1,68,1,18,85,17.158,2
251,188,0,0,19,185,18.061,0.75
255,0,254,0,17,105,16.255,3
255,0,195,0,6,98,6.3194,2.25
255,0,81,0,18,85,17.158,2
253,120,2,2,30,146,27.997,0.75
255,0,250,0,17,105,16.255,3
255,1,232,1,17,103,16.255,2.25
