Red,Green,Blue,Gray,Index,Intensity,Temperature,Depth
255,7,117,7,3,94,3.6097,0.75
255,1,135,1,20,92,18.965,3
244,2,14,2,24,76,22.577,2.25
255,25,39,25,17,95,16.255,2
249,3,40,3,27,81,25.287,0.75
248,0,144,0,8,91,8.1258,3
255,4,169,4,15,98,14.448,2.25
255,0,240,0,15,104,14.448,2
255,7,117,7,3,94,3.6097,0.75
255,5,131,5,19,94,18.061,3
245,3,15,3,7,77,7.2226,2.25
255,26,39,26,17,96,16.255,2
249,5,39,5,27,82,25.287,0.75
251,0,148,0,8,92,8.1258,3
249,2,168,2,15,95,14.448,2.25
255,0,241,0,15,104,14.448,2
255,5,128,5,20,94,18.965,0.75
252,0,135,0,20,91,18.965,3
250,8,20,8,7,82,7.2226,2.25
255,24,40,24,17,95,16.255,2
251,6,40,6,27,83,25.287,0.75
251,0,150,0,8,92,8.1258,3
252,1,168,1,15,95,14.448,2.25
255,0,242,0,15,104,14.448,2
255,8,112,8,3,94,3.6097,0.75
255,0,135,0,19,92,18.061,3
247,5,17,5,7,79,7.2226,2.25
255,23,39,23,17,94,16.255,2
248,4,38,4,27,81,25.287,0.75
251,0,150,0,8,92,8.1258,3
254,3,170,3,15,97,14.448,2.25
254,0,239,0,15,103,14.448,2
255,8,112,8,22,94,20.771,0.75
255,0,136,0,18,92,17.158,3
246,9,19,9,7,81,7.2226,2.25
255,21,38,21,17,93,16.255,2
248,4,38,4,4,81,4.5129,0.75
251,0,152,0,8,92,8.1258,3
254,3,171,3,8,97,8.1258,2.25
255,2,244,2,15,105,14.448,2
255,8,113,8,3,94,3.6097,0.75
255,0,135,0,17,92,16.255,3
246,4,16,4,7,78,7.2226,2.25
255,22,40,22,19,94,18.061,2
249,5,43,5,27,82,25.287,0.75
251,0,152,0,8,92,8.1258,3
254,2,175,2,8,97,8.1258,2.25
255,2,242,2,14,105,13.545,2
255,8,118,8,3,94,3.6097,0.75
255,0,139,0,17,92,16.255,3
246,4,16,4,7,78,7.2226,2.25
255,19,36,19,18,91,17.158,2
254,10,48,10,10,87,9.9323,0.75
250,0,154,0,9,92,9.029,3
252,0,173,0,9,95,9.029,2.25
255,3,244,3,17,106,16.255,2
255,4,117,4,25,92,23.481,0.75
255,0,137,0,22,92,20.771,3
244,0,11,0,31,74,28.9,2.25
255,19,36,19,20,91,18.965,2
252,6,47,6,8,84,8.1258,0.75
250,0,156,0,8,93,8.1258,3
254,2,175,2,14,97,13.545,2.25
255,2,246,2,14,105,13.545,2
255,5,115,5,3,92,3.6097,0.75
255,2,134,2,19,93,18.061,3
242,6,10,6,31,77,28.9,2.25
255,20,36,20,18,92,17.158,2
250,4,45,4,28,82,26.19,0.75
249,0,155,0,8,92,8.1258,3
252,4,180,4,15,98,14.448,2.25
255,2,248,2,15,106,14.448,2
255,7,120,7,25,94,23.481,0.75
255,0,139,0,20,92,18.965,3
247,1,14,1,6,76,6.3194,2.25
255,18,36,18,18,91,17.158,2
251,4,48,4,9,83,9.029,0.75
249,0,155,0,8,92,8.1258,3
249,1,175,1,8,95,8.1258,2.25
255,1,251,1,15,105,14.448,2
255,2,129,2,3,92,3.6097,0.75
255,0,138,0,21,92,19.868,3
248,3,10,3,31,77,28.9,2.25
255,20,38,20,19,92,18.061,2
252,3,45,3,28,82,26.19,0.75
249,0,157,0,8,92,8.1258,3
249,2,178,2,8,96,8.1258,2.25
254,0,249,0,15,104,14.448,2
255,8,123,8,3,95,3.6097,0.75
255,2,137,2,3,93,3.6097,3
250,5,13,5,6,79,6.3194,2.25
255,17,35,17,19,90,18.061,2
254,4,49,4,9,84,9.029,0.75
249,0,155,0,7,92,7.2226,3
251,3,179,3,7,97,7.2226,2.25
255,0,250,0,14,105,13.545,2
255,5,139,5,21,95,19.868,0.75
255,0,134,0,3,92,3.6097,3
244,0,7,0,30,74,27.997,2.25
255,13,34,13,4,88,4.5129,2
253,3,48,3,9,83,9.029,0.75
249,0,162,0,7,93,7.2226,3
251,2,180,2,7,97,7.2226,2.25
255,0,250,0,14,105,13.545,2
254,5,133,5,3,94,3.6097,0.75
255,1,136,1,3,92,3.6097,3
245,0,8,0,31,74,28.9,2.25
255,17,34,17,21,90,19.868,2
252,5,49,5,27,84,25.287,0.75
246,0,161,0,8,92,8.1258,3
255,7,183,7,15,101,14.448,2.25
255,0,252,0,15,105,14.448,2
255,6,141,6,21,96,19.868,0.75
255,0,135,0,21,92,19.868,3
249,8,14,8,19,81,18.061,2.25
255,11,29,11,26,86,24.384,2
253,4,46,4,28,83,26.19,0.75
250,0,163,0,7,93,7.2226,3
251,3,177,3,14,97,13.545,2.25
255,2,254,2,14,106,13.545,2
254,4,130,4,19,93,18.061,0.75
255,2,136,2,3,93,3.6097,3
253,8,15,8,6,82,6.3194,2.25
255,13,31,13,21,87,19.868,2
250,5,48,5,9,83,9.029,0.75
249,0,165,0,7,93,7.2226,3
251,2,184,2,7,97,7.2226,2.25
255,1,251,1,14,105,13.545,2
255,3,128,3,3,93,3.6097,0.75
255,0,134,0,3,92,3.6097,3
249,4,11,4,30,78,27.997,2.25
255,12,33,12,21,87,19.868,2
253,3,48,3,9,83,9.029,0.75
246,0,168,0,7,93,7.2226,3
253,4,184,4,7,99,7.2226,2.25
255,2,254,2,13,106,12.642,2
255,6,147,6,19,97,18.061,0.75
254,0,134,0,3,91,3.6097,3
251,6,13,6,29,80,27.094,2.25
255,12,33,12,4,87,4.5129,2
251,5,46,5,27,83,25.287,0.75
245,0,169,0,7,93,7.2226,3
250,2,184,2,13,97,12.642,2.25
255,2,254,2,13,106,12.642,2
255,6,147,6,19,97,18.061,0.75
255,0,134,0,3,92,3.6097,3
244,0,6,0,22,74,20.771,2.25
255,13,31,13,21,87,19.868,2
250,4,45,4,28,82,26.19,0.75
245,0,165,0,7,92,7.2226,3
251,2,184,2,13,97,12.642,2.25
255,1,255,1,13,106,12.642,2
255,9,134,9,3,97,3.6097,0.75
255,2,134,2,3,93,3.6097,3
250,5,12,5,29,79,27.094,2.25
255,11,29,11,25,86,23.481,2
253,6,50,6,9,85,9.029,0.75
248,0,168,0,7,93,7.2226,3
250,2,184,2,13,97,12.642,2.25
255,0,255,0,13,105,12.642,2
254,3,144,3,19,94,18.061,0.75
255,1,136,1,19,92,18.061,3
252,7,14,7,30,81,27.997,2.25
255,10,29,10,25,85,23.481,2
252,5,49,5,9,84,9.029,0.75
248,0,172,0,6,94,6.3194,3
252,3,191,3,14,99,13.545,2.25
255,1,255,1,14,106,13.545,2
255,7,133,7,13,96,12.642,0.75
254,0,132,0,13,91,12.642,3
248,7,13,7,29,80,27.094,2.25
255,12,31,12,16,87,15.352,2
254,3,48,3,28,83,26.19,0.75
247,0,175,0,6,94,6.3194,3
253,5,189,5,6,100,6.3194,2.25
255,0,255,0,14,105,13.545,2
255,7,149,7,6,97,6.3194,0.75
254,0,132,0,13,91,12.642,3
251,10,16,10,7,83,7.2226,2.25
255,12,31,12,21,87,19.868,2
250,3,47,3,28,82,26.19,0.75
247,0,173,0,6,94,6.3194,3
254,5,195,5,14,101,13.545,2.25
255,1,255,1,14,106,13.545,2
255,8,138,8,31,97,28.9,0.75
254,0,132,0,13,91,12.642,3
254,9,14,9,28,83,26.19,2.25
255,12,31,12,25,87,23.481,2
254,4,49,4,11,84,10.835,0.75
249,0,175,0,6,94,6.3194,3
252,3,195,3,14,99,13.545,2.25
255,0,255,0,14,105,13.545,2
255,7,148,7,13,97,12.642,0.75
254,0,132,0,13,91,12.642,3
246,6,9,6,27,78,25.287,2.25
255,13,32,13,21,88,19.868,2
253,6,50,6,11,85,10.835,0.75
249,0,171,0,6,94,6.3194,3
254,3,197,3,6,100,6.3194,2.25
254,0,255,0,14,105,13.545,2
255,8,134,8,13,96,12.642,0.75
254,0,135,0,13,91,12.642,3
253,8,13,8,26,82,24.384,2.25
255,10,31,10,15,86,14.448,2
255,5,50,5,11,85,10.835,0.75
249,0,169,0,6,94,6.3194,3
253,3,197,3,14,100,13.545,2.25
255,2,250,2,14,106,13.545,2
255,5,146,5,13,96,12.642,0.75
254,0,134,0,13,91,12.642,3
246,6,9,6,27,78,25.287,2.25
255,11,31,11,24,86,22.577,2
249,3,44,3,28,81,26.19,0.75
248,0,172,0,6,94,6.3194,3
253,3,199,3,6,100,6.3194,2.25
253,0,253,0,13,104,12.642,2
255,4,145,4,14,95,13.545,0.75
254,0,134,0,14,91,13.545,3
252,7,14,7,7,81,7.2226,2.25
255,11,30,11,15,86,14.448,2
252,2,47,2,31,82,28.9,0.75
247,0,176,0,6,94,6.3194,3
253,3,199,3,13,100,12.642,2.25
255,2,250,2,13,106,12.642,2
255,5,141,5,14,95,13.545,0.75
254,0,133,0,14,91,13.545,3
250,10,13,10,18,82,17.158,2.25
255,11,29,11,25,86,23.481,2
252,2,47,2,12,82,11.739,0.75
247,0,174,0,6,94,6.3194,3
251,1,199,1,13,98,12.642,2.25
254,0,255,0,13,105,12.642,2
255,5,147,5,31,96,28.9,0.75
254,0,134,0,14,91,13.545,3
251,6,11,6,20,80,18.965,2.25
255,12,30,12,15,87,14.448,2
252,5,49,5,12,84,11.739,0.75
250,0,179,0,6,95,6.3194,3
253,2,203,2,13,100,12.642,2.25
255,0,255,0,13,105,12.642,2
255,6,136,6,14,95,13.545,0.75
254,0,134,0,14,91,13.545,3
250,5,10,5,19,79,18.061,2.25
255,9,31,9,25,85,23.481,2
251,4,49,4,30,83,27.997,0.75
249,0,180,0,6,95,6.3194,3
253,2,203,2,13,100,12.642,2.25
255,2,251,2,13,106,12.642,2
253,6,146,6,14,96,13.545,0.75
255,0,134,0,14,92,13.545,3
249,9,12,9,20,81,18.965,2.25
255,7,27,7,24,83,22.577,2
253,3,49,3,11,83,10.835,0.75
248,0,181,0,6,95,6.3194,3
254,3,206,3,13,101,12.642,2.25
255,3,252,3,13,107,12.642,2
255,11,138,11,14,98,13.545,0.75
254,0,133,0,14,91,13.545,3
248,8,11,8,19,80,18.061,2.25
255,9,31,9,25,85,23.481,2
255,4,49,4,12,84,11.739,0.75
246,0,181,0,6,94,6.3194,3
255,4,207,4,6,102,6.3194,2.25
255,2,254,2,13,106,12.642,2
254,6,146,6,14,96,13.545,0.75
255,0,134,0,14,92,13.545,3
252,7,12,7,20,81,18.965,2.25
255,6,28,6,24,83,22.577,2
254,4,49,4,11,84,10.835,0.75
248,0,184,0,6,95,6.3194,3
254,3,206,3,6,101,6.3194,2.25
255,2,253,2,13,106,12.642,2
254,5,147,5,6,96,6.3194,0.75
254,0,133,0,14,91,13.545,3
252,7,12,7,20,81,18.965,2.25
253,4,26,4,24,81,22.577,2
255,3,50,3,11,84,10.835,0.75
248,0,184,0,6,95,6.3194,3
255,5,209,5,13,103,12.642,2.25
255,0,255,0,13,105,12.642,2
255,4,146,4,14,95,13.545,0.75
254,0,133,0,14,91,13.545,3
255,11,16,11,7,85,7.2226,2.25
255,8,26,8,24,84,22.577,2
253,3,49,3,11,83,10.835,0.75
248,0,188,0,13,96,12.642,3
254,2,211,2,13,101,12.642,2.25
255,2,253,2,13,106,12.642,2
253,4,146,4,14,95,13.545,0.75
254,0,131,0,14,91,13.545,3
254,8,13,8,20,82,18.965,2.25
253,4,26,4,24,81,22.577,2
254,2,51,2,11,83,10.835,0.75
249,0,187,0,13,96,12.642,3
254,3,207,3,13,101,12.642,2.25
255,2,255,2,13,106,12.642,2
255,2,146,2,14,94,13.545,0.75
254,0,131,0,14,91,13.545,3
255,9,17,9,7,83,7.2226,2.25
255,7,27,7,24,83,22.577,2
254,3,48,3,11,83,10.835,0.75
247,0,189,0,6,95,6.3194,3
253,2,206,2,15,100,14.448,2.25
255,3,251,3,15,107,14.448,2
255,8,150,8,13,98,12.642,0.75
254,0,131,0,25,91,23.481,3
249,4,12,4,20,78,18.965,2.25
254,7,28,7,24,83,22.577,2
254,1,48,1,11,82,10.835,0.75
254,0,191,0,6,98,6.3194,3
253,2,206,2,6,100,6.3194,2.25
254,2,255,2,15,106,14.448,2
255,3,147,3,13,95,12.642,0.75
254,0,131,0,26,91,24.384,3
254,8,11,8,20,82,18.965,2.25
